(1435248031086442144 exit  prim <=)
(1435248031086455901 enter prim -)
(1435248031086458291 exit  prim -)
(1435248031086460380 enter func fib)
(1435248031086472543 enter prim if)
(1435248031086478953 enter prim <=)
(1435248031086481084 exit  prim <=)
(1435248031086497877 enter prim -)
(1435248031086500318 exit  prim -)
(1435248031086502297 enter func fib)
(1435248031086514203 enter prim if)
(1435248031086520521 enter prim <=)
(1435248031086522693 exit  prim <=)
(1435248031086544964 enter prim -)
(1435248031086547410 exit  prim -)
(1435248031086549430 enter func fib)
(1435248031086571715 enter prim if)
(1435248031086578225 enter prim <=)
(1435248031086580380 exit  prim <=)
(1435248031086583027 exit  prim if)
(1435248031086584816 exit  func fib)
(1435248031086592992 enter prim -)
(1435248031086595183 exit  prim -)
(1435248031086597145 enter func fib)
(1435248031086608891 enter prim if)
(1435248031086615125 enter prim <=)
(1435248031086617210 exit  prim <=)
(1435248031086619760 exit  prim if)
(1435248031086621554 exit  func fib)
(1435248031086623447 enter prim +)
(1435248031086625647 exit  prim +)
(1435248031086627456 exit  prim if)
(1435248031086629244 exit  func fib)
(1435248031086637470 enter prim -)
(1435248031086639713 exit  prim -)
(1435248031086641635 enter func fib)
(1435248031086656622 enter prim if)
(1435248031086663200 enter prim <=)
(1435248031086665368 exit  prim <=)
(1435248031086667970 exit  prim if)
(1435248031086669751 exit  func fib)
(1435248031086671664 enter prim +)
(1435248031086673825 exit  prim +)
(1435248031086675569 exit  prim if)
(1435248031086677364 exit  func fib)
(1435248031086685727 enter prim -)
(1435248031086688055 exit  prim -)
(1435248031086690026 enter func fib)
(1435248031086711411 enter prim if)
(1435248031086718102 enter prim <=)
(1435248031086720256 exit  prim <=)
(1435248031086733719 enter prim -)
(1435248031086736127 exit  prim -)
(1435248031086738104 enter func fib)
(1435248031086750040 enter prim if)
(1435248031086756308 enter prim <=)
(1435248031086758400 exit  prim <=)
(1435248031086760988 exit  prim if)
(1435248031086762824 exit  func fib)
(1435248031086771018 enter prim -)
(1435248031086773251 exit  prim -)
(1435248031086775182 enter func fib)
(1435248031086787005 enter prim if)
(1435248031086793267 enter prim <=)
(1435248031086795406 exit  prim <=)
(1435248031086797915 exit  prim if)
(1435248031086799652 exit  func fib)
(1435248031086801564 enter prim +)
(1435248031086805091 exit  prim +)
(1435248031086807111 exit  prim if)
(1435248031086808895 exit  func fib)
(1435248031086810785 enter prim +)
(1435248031086818202 exit  prim +)
(1435248031086819982 exit  prim if)
(1435248031086821747 exit  func fib)
(1435248031086823646 enter prim +)
(1435248031086825781 exit  prim +)
(1435248031086827537 exit  prim if)
(1435248031086829318 exit  func fib)
(1435248031086831310 enter prim +)
(1435248031086833468 exit  prim +)
(1435248031086835209 exit  prim if)
(1435248031086836970 exit  func fib)
(1435248031086847279 enter prim -)
(1435248031086849715 exit  prim -)
(1435248031086851712 enter func fib)
(1435248031086863801 enter prim if)
(1435248031086870095 enter prim <=)
(1435248031086872251 exit  prim <=)
(1435248031086885556 enter prim -)
(1435248031086887801 exit  prim -)
(1435248031086889739 enter func fib)
(1435248031086901766 enter prim if)
(1435248031086908137 enter prim <=)
